czujnik1,44.71, czujnik2,0.00, czujnik3,39.61
czujnik1,19.74, czujnik2,279.27, czujnik3,39.59
czujnik1,19.73, czujnik2,42.53, czujnik3,39.51
czujnik1,41.00, czujnik2,43.47, czujnik3,39.47
czujnik1,41.50, czujnik2,41.94, czujnik3,39.61
czujnik1,19.74, czujnik2,42.18, czujnik3,39.51
czujnik1,19.73, czujnik2,50.90, czujnik3,39.59
czujnik1,42.62, czujnik2,0.00, czujnik3,39.59
czujnik1,21.04, czujnik2,47.23, czujnik3,39.59
czujnik1,19.76, czujnik2,46.84, czujnik3,40.02
czujnik1,43.74, czujnik2,48.10, czujnik3,39.61
czujnik1,20.17, czujnik2,42.65, czujnik3,40.05
czujnik1,45.29, czujnik2,42.24, czujnik3,40.00
czujnik1,42.93, czujnik2,43.47, czujnik3,39.51
czujnik1,41.80, czujnik2,45.12, czujnik3,39.51
czujnik1,49.46, czujnik2,0.00, czujnik3,39.59
czujnik1,41.63, czujnik2,47.53, czujnik3,39.49
czujnik1,40.63, czujnik2,55.07, czujnik3,39.61
czujnik1,44.95, czujnik2,42.14, czujnik3,39.59
czujnik1,19.59, czujnik2,41.33, czujnik3,39.49
czujnik1,41.12, czujnik2,49.20, czujnik3,39.47
czujnik1,41.92, czujnik2,42.07, czujnik3,39.49
czujnik1,20.94, czujnik2,42.60, czujnik3,39.61
czujnik1,46.62, czujnik2,45.58, czujnik3,39.61
czujnik1,21.04, czujnik2,110.24, czujnik3,39.51
czujnik1,40.61, czujnik2,52.59, czujnik3,39.63
czujnik1,47.93, czujnik2,108.64, czujnik3,40.02
czujnik1,45.00, czujnik2,41.63, czujnik3,39.63
czujnik1,19.74, czujnik2,111.45, czujnik3,39.49
czujnik1,20.61, czujnik2,46.00, czujnik3,39.61
czujnik1,19.74, czujnik2,43.37, czujnik3,39.63
czujnik1,42.41, czujnik2,43.42, czujnik3,40.02
czujnik1,40.60, czujnik2,42.87, czujnik3,39.91
czujnik1,40.83, czujnik2,49.61, czujnik3,39.63
czujnik1,42.06, czujnik2,43.04, czujnik3,39.61
czujnik1,47.04, czujnik2,41.58, czujnik3,39.61
czujnik1,42.09, czujnik2,50.90, czujnik3,39.51
czujnik1,42.91, czujnik2,41.73, czujnik3,39.61
czujnik1,45.78, czujnik2,0.00, czujnik3,39.63
czujnik1,40.63, czujnik2,50.03, czujnik3,39.52
czujnik1,42.45, czujnik2,42.99, czujnik3,39.61
czujnik1,42.16, czujnik2,46.77, czujnik3,39.85
czujnik1,21.02, czujnik2,53.40, czujnik3,39.49
czujnik1,20.88, czujnik2,42.04, czujnik3,39.57
czujnik1,42.55, czujnik2,41.70, czujnik3,40.03
czujnik1,41.58, czujnik2,40.82, czujnik3,39.63
czujnik1,42.53, czujnik2,45.56, czujnik3,39.93
czujnik1,20.61, czujnik2,53.38, czujnik3,39.61
czujnik1,42.96, czujnik2,0.00, czujnik3,39.61
czujnik1,44.61, czujnik2,257.11, czujnik3,39.59
czujnik1,19.74, czujnik2,42.13, czujnik3,39.59
czujnik1,45.19, czujnik2,214.12, czujnik3,39.47
czujnik1,42.33, czujnik2,47.53, czujnik3,39.95
czujnik1,47.40, czujnik2,0.00, czujnik3,39.61
czujnik1,42.06, czujnik2,47.55, czujnik3,40.03
czujnik1,41.29, czujnik2,43.93, czujnik3,39.63
czujnik1,43.25, czujnik2,47.93, czujnik3,39.47
czujnik1,41.26, czujnik2,41.90, czujnik3,39.51
czujnik1,42.41, czujnik2,41.31, czujnik3,39.63
czujnik1,45.49, czujnik2,44.85, czujnik3,39.63
czujnik1,45.00, czujnik2,46.96, czujnik3,39.61
czujnik1,43.23, czujnik2,41.26, czujnik3,39.61
czujnik1,41.85, czujnik2,42.01, czujnik3,39.51
czujnik1,42.18, czujnik2,44.37, czujnik3,39.98
czujnik1,41.68, czujnik2,40.92, czujnik3,40.03
czujnik1,19.74, czujnik2,109.86, czujnik3,40.03
czujnik1,42.09, czujnik2,2292.04, czujnik3,39.63
czujnik1,42.96, czujnik2,42.45, czujnik3,39.91
czujnik1,40.88, czujnik2,42.13, czujnik3,40.02
czujnik1,44.25, czujnik2,47.24, czujnik3,39.63
czujnik1,41.02, czujnik2,2294.22, czujnik3,39.91
czujnik1,21.02, czujnik2,42.53, czujnik3,40.03
czujnik1,41.02, czujnik2,45.87, czujnik3,39.88
czujnik1,41.02, czujnik2,42.65, czujnik3,39.49
czujnik1,19.74, czujnik2,41.31, czujnik3,39.59
czujnik1,19.74, czujnik2,41.21, czujnik3,39.51
czujnik1,44.03, czujnik2,41.72, czujnik3,39.98
czujnik1,19.34, czujnik2,41.60, czujnik3,39.93
czujnik1,41.67, czujnik2,41.84, czujnik3,39.51
czujnik1,40.51, czujnik2,42.11, czujnik3,40.02
czujnik1,45.44, czujnik2,0.00, czujnik3,39.63
czujnik1,19.74, czujnik2,41.63, czujnik3,39.63
czujnik1,41.56, czujnik2,41.67, czujnik3,39.49
czujnik1,21.45, czujnik2,43.42, czujnik3,39.51
czujnik1,19.64, czujnik2,464.90, czujnik3,40.02
czujnik1,44.17, czujnik2,41.22, czujnik3,40.02
czujnik1,19.74, czujnik2,41.63, czujnik3,39.85
czujnik1,19.76, czujnik2,44.42, czujnik3,40.02
czujnik1,20.17, czujnik2,45.97, czujnik3,39.52
czujnik1,21.45, czujnik2,43.06, czujnik3,39.59
czujnik1,41.65, czujnik2,390.78, czujnik3,39.61
czujnik1,21.04, czujnik2,44.59, czujnik3,39.80
czujnik1,41.26, czujnik2,212.93, czujnik3,39.37
czujnik1,41.92, czujnik2,43.03, czujnik3,39.61
czujnik1,45.39, czujnik2,0.00, czujnik3,39.61
czujnik1,41.38, czujnik2,41.75, czujnik3,39.59
czujnik1,42.01, czujnik2,40.39, czujnik3,39.37
czujnik1,43.57, czujnik2,42.82, czujnik3,25.88
czujnik1,41.55, czujnik2,42.41, czujnik3,39.47
czujnik1,41.24, czujnik2,46.82, czujnik3,39.49
czujnik1,41.41, czujnik2,42.30, czujnik3,39.59
czujnik1,42.99, czujnik2,53.71, czujnik3,39.97
czujnik1,41.92, czujnik2,42.87, czujnik3,39.93
czujnik1,42.07, czujnik2,42.55, czujnik3,39.93
czujnik1,42.07, czujnik2,0.00, czujnik3,39.61
czujnik1,19.32, czujnik2,239.29, czujnik3,39.49
czujnik1,45.82, czujnik2,46.28, czujnik3,39.52
czujnik1,41.07, czujnik2,40.83, czujnik3,39.63
czujnik1,47.59, czujnik2,0.00, czujnik3,39.63
czujnik1,20.17, czujnik2,234.98, czujnik3,39.49
czujnik1,44.95, czujnik2,56.34, czujnik3,39.46
czujnik1,41.17, czujnik2,44.17, czujnik3,39.35
czujnik1,20.07, czujnik2,50.87, czujnik3,39.46
czujnik1,43.59, czujnik2,46.22, czujnik3,39.59
czujnik1,41.97, czujnik2,46.26, czujnik3,39.52
czujnik1,20.94, czujnik2,236.48, czujnik3,39.91
czujnik1,40.49, czujnik2,218.04, czujnik3,39.46
czujnik1,21.45, czujnik2,0.00, czujnik3,40.43
czujnik1,42.98, czujnik2,47.11, czujnik3,39.91
czujnik1,21.02, czujnik2,45.71, czujnik3,40.03
czujnik1,21.04, czujnik2,46.41, czujnik3,39.52
czujnik1,41.24, czujnik2,42.65, czujnik3,39.59
czujnik1,42.98, czujnik2,216.94, czujnik3,39.61
czujnik1,44.12, czujnik2,42.21, czujnik3,39.61
czujnik1,42.52, czujnik2,0.00, czujnik3,39.51
czujnik1,40.66, czujnik2,43.62, czujnik3,39.61
czujnik1,19.76, czujnik2,50.46, czujnik3,40.00
czujnik1,19.34, czujnik2,42.26, czujnik3,39.47
czujnik1,21.04, czujnik2,41.38, czujnik3,39.61
czujnik1,42.53, czujnik2,45.17, czujnik3,39.91
czujnik1,43.04, czujnik2,51.31, czujnik3,39.61
czujnik1,41.68, czujnik2,43.40, czujnik3,39.52
czujnik1,40.61, czujnik2,670.70, czujnik3,39.59
czujnik1,45.44, czujnik2,53.42, czujnik3,39.47
czujnik1,41.12, czujnik2,41.51, czujnik3,39.51
czujnik1,40.73, czujnik2,43.13, czujnik3,39.59
czujnik1,21.04, czujnik2,48.13, czujnik3,39.97
czujnik1,42.11, czujnik2,43.52, czujnik3,40.03
czujnik1,44.98, czujnik2,40.82, czujnik3,39.61
czujnik1,42.67, czujnik2,43.38, czujnik3,39.54
czujnik1,19.76, czujnik2,43.45, czujnik3,39.51
czujnik1,41.55, czujnik2,42.87, czujnik3,39.63
czujnik1,19.73, czujnik2,43.83, czujnik3,40.03
czujnik1,19.76, czujnik2,55.09, czujnik3,39.52
czujnik1,41.75, czujnik2,41.33, czujnik3,39.93
czujnik1,40.88, czujnik2,43.16, czujnik3,40.02
czujnik1,44.12, czujnik2,48.57, czujnik3,40.05
czujnik1,41.85, czujnik2,41.99, czujnik3,39.47
czujnik1,20.17, czujnik2,42.69, czujnik3,39.56
czujnik1,41.14, czujnik2,41.31, czujnik3,39.63
czujnik1,41.19, czujnik2,42.40, czujnik3,40.05
czujnik1,41.45, czujnik2,41.26, czujnik3,39.47
czujnik1,41.80, czujnik2,42.18, czujnik3,39.47
czujnik1,47.52, czujnik2,50.88, czujnik3,40.02
czujnik1,40.51, czujnik2,41.63, czujnik3,39.63
czujnik1,19.76, czujnik2,42.53, czujnik3,39.51
czujnik1,41.02, czujnik2,41.77, czujnik3,39.51
czujnik1,45.80, czujnik2,42.09, czujnik3,40.05
czujnik1,42.02, czujnik2,42.50, czujnik3,40.02
czujnik1,41.48, czujnik2,41.62, czujnik3,39.93
czujnik1,41.04, czujnik2,42.16, czujnik3,39.86
czujnik1,20.05, czujnik2,42.60, czujnik3,39.57
czujnik1,41.60, czujnik2,41.63, czujnik3,39.61
czujnik1,19.74, czujnik2,45.56, czujnik3,39.51
czujnik1,19.74, czujnik2,42.60, czujnik3,39.49
czujnik1,20.07, czujnik2,45.70, czujnik3,40.03
czujnik1,21.02, czujnik2,43.32, czujnik3,39.63
czujnik1,41.82, czujnik2,0.00, czujnik3,39.47
czujnik1,20.92, czujnik2,52.14, czujnik3,39.61
czujnik1,42.79, czujnik2,41.22, czujnik3,39.56
czujnik1,46.17, czujnik2,254.93, czujnik3,39.46
czujnik1,41.63, czujnik2,258.01, czujnik3,39.63
czujnik1,19.61, czujnik2,42.48, czujnik3,39.98
czujnik1,41.89, czujnik2,42.09, czujnik3,39.63
czujnik1,41.68, czujnik2,0.00, czujnik3,39.52
czujnik1,41.09, czujnik2,42.47, czujnik3,39.61
czujnik1,42.55, czujnik2,40.88, czujnik3,39.57
czujnik1,42.79, czujnik2,0.00, czujnik3,39.51
czujnik1,41.99, czujnik2,41.26, czujnik3,39.98
czujnik1,21.02, czujnik2,41.99, czujnik3,39.49
czujnik1,41.16, czujnik2,41.60, czujnik3,39.97
czujnik1,41.38, czujnik2,263.79, czujnik3,40.03
czujnik1,41.22, czujnik2,41.67, czujnik3,39.46
czujnik1,41.50, czujnik2,41.90, czujnik3,39.46
czujnik1,20.15, czujnik2,42.50, czujnik3,39.49
czujnik1,42.47, czujnik2,41.31, czujnik3,39.63
czujnik1,19.74, czujnik2,44.80, czujnik3,40.02
czujnik1,41.02, czujnik2,43.35, czujnik3,40.02
czujnik1,41.65, czujnik2,40.92, czujnik3,39.52
czujnik1,48.01, czujnik2,0.00, czujnik3,39.63
czujnik1,21.04, czujnik2,41.72, czujnik3,39.57
czujnik1,20.90, czujnik2,44.59, czujnik3,39.81
czujnik1,41.04, czujnik2,41.55, czujnik3,39.63
czujnik1,41.29, czujnik2,43.06, czujnik3,39.56
czujnik1,40.77, czujnik2,52.98, czujnik3,39.44
czujnik1,21.45, czujnik2,43.49, czujnik3,40.03
czujnik1,41.34, czujnik2,42.19, czujnik3,40.00
czujnik1,41.38, czujnik2,41.24, czujnik3,39.63
czujnik1,20.60, czujnik2,42.76, czujnik3,39.51
czujnik1,20.15, czujnik2,42.91, czujnik3,40.03
czujnik1,42.07, czujnik2,41.77, czujnik3,39.57
czujnik1,19.74, czujnik2,390.68, czujnik3,39.57
czujnik1,46.22, czujnik2,0.00, czujnik3,39.88
